date,close,volume,open,high,low
2018/11/29,1673.57,6600424,1674.99,1689.99,1652.331
2018/11/28,1677.75,8429894,1613.92,1681.45,1601.215
2018/11/27,1581.42,5758441,1575.99,1597.65,1558.01
2018/11/26,1581.33,6226531,1539,1584.81,1524.22
2018/11/23,1502.06,2707642,1517,1536.2,1501.81
2018/11/21,1516.73,5707400,1542.99,1550,1515
2018/11/20,1495.46,10824410,1437.5,1534.75,1420
2018/11/19,1512.29,7741370,1577.01,1581.19,1503.36
2018/11/16,1593.41,6057199,1587.5,1614.48,1573.12
2018/11/15,1619.44,8379824,1581.01,1624.82,1546.51
2018/11/14,1599.01,6439170,1656.32,1672.9952,1597.07
2018/11/13,1631.17,5901499,1649.29,1677.0638,1613.75
2018/11/12,1636.85,6763693,1698.24,1708.55,1630.01
2018/11/09,1712.43,5892058,1732.5,1743.9206,1701.87
2018/11/08,1754.91,6520345,1755,1784,1725.11
2018/11/07,1755.49,8166777,1673,1759.23,1664.075
2018/11/06,1642.81,4206093,1618.35,1665,1614.55
2018/11/05,1627.8,5615749,1657.57,1658.09,1596.36
2018/11/02,1665.53,6932644,1678.59,1697.44,1651.83
2018/11/01,1665.53,8054045,1623.53,1670.4465,1598.44
2018/10/31,1598.01,9372899,1569.99,1623.91,1565.09
2018/10/30,1530.42,12395130,1486.16,1540.99,1476.36
2018/10/29,1538.88,13791810,1660,1665.7383,1495
2018/10/26,1642.81,14941860,1649.59,1698.46,1603
2018/10/25,1782.17,9941447,1703.34,1794.81,1692.0101
2018/10/24,1664.2,6845123,1773.7,1777.7099,1656.56
2018/10/23,1768.7,6705686,1742.24,1776.34,1714
2018/10/22,1789.3,4481334,1784,1809.4999,1756
2018/10/19,1764.03,5854417,1785.16,1809.1,1753
2018/10/18,1770.72,5839352,1821.49,1830.15,1767.87
2018/10/17,1831.73,5282597,1842.79,1845,1807
2018/10/16,1819.96,5826985,1783.5,1823.88,1761.55
2018/10/15,1760.95,6360606,1795,1795.05,1734.23
2018/10/12,1788.61,9385256,1808,1808.95,1742.53
2018/10/11,1719.36,13858970,1724,1755.4,1685.1
