date,close,open,high,low,daily_pct_change,SMA20,SMA50,SMA100,SMA200,trend,signal,position,balance_roll
2008-12-01,40.47,42.0,43.26,40.38,,,,,,,,,50000.0
2008-12-02,41.19,41.39,41.71,38.82,1.78,,,,,,,,50000.0
2008-12-03,45.21,40.16,45.88,40.05,9.76,,,,,,,,50000.0
2008-12-04,47.32,45.94,50.5,45.75,4.67,,,,,,,,50000.0
2008-12-05,48.26,45.89,48.49,43.3,1.99,,,,,,,,50000.0
2008-12-08,51.41,49.15,52.14,47.36,6.53,,,,,,,,50000.0
2008-12-09,51.25,49.81,54.48,49.7,-0.31,,,,,,,,50000.0
2008-12-10,49.7,51.46,51.5,48.34,-3.02,,,,,,,,50000.0
2008-12-11,48.25,49.33,50.49,48.17,-2.92,,,,,,,,50000.0
2008-12-12,51.25,47.52,51.38,47.52,6.22,,,,,,,,50000.0
2008-12-15,48.85,50.65,50.95,48.1481,-4.68,,,,,,,,50000.0
2008-12-16,52.63,49.62,52.96,49.29,7.74,,,,,,,,50000.0
2008-12-17,53.18,52.26,54.77,51.53,1.05,,,,,,,,50000.0
2008-12-18,52.08,53.0,54.85,51.2,-2.07,,,,,,,,50000.0
2008-12-19,51.56,51.59,52.99,50.92,-1.0,,,,,,,,50000.0
2008-12-22,49.84,51.6,52.15,48.47,-3.34,,,,,,,,50000.0
2008-12-23,51.08,50.12,51.61,50.12,2.49,,,,,,,,50000.0
2008-12-24,51.44,51.66,51.95,51.01,0.7,,,,,,,,50000.0
2008-12-26,51.78,53.79,53.95,51.55,0.66,,,,,,,,50000.0
2008-12-29,49.4,51.43,51.77,48.56,-4.6,49.3075,,,,,,,50000.0
2008-12-30,50.76,49.51,51.21,48.74,2.75,49.822,,,,,,,50000.0
2008-12-31,51.28,50.74,51.69,49.91,1.02,50.326499999999996,,,,,,,50000.0
2009-01-02,54.36,51.35,54.53,51.07,6.01,50.78399999999999,,,,,,,50000.0
2009-01-05,54.06,55.73,55.74,53.03,-0.55,51.12099999999999,,,,,,,50000.0
2009-01-06,57.36,54.55,58.22,53.75,6.1,51.575999999999986,,,,,,,50000.0
2009-01-07,56.2,56.29,56.95,55.35,-2.02,51.815499999999986,,,,,,,50000.0
2009-01-08,57.16,54.99,57.32,54.58,1.71,52.11099999999999,,,,,,,50000.0
2009-01-09,55.51,56.92,57.0,54.7,-2.89,52.401499999999984,,,,,,,50000.0
2009-01-12,51.92,54.12,54.3,50.87,-6.47,52.584999999999994,,,,,,,50000.0
2009-01-13,51.45,50.96,53.29,50.75,-0.91,52.59499999999999,,,,,,,50000.0
2009-01-14,48.49,50.1,50.1,48.14,-5.75,52.577,,,,,,,50000.0
2009-01-15,51.44,48.56,52.23,47.63,6.08,52.5175,,,,,,,50000.0
2009-01-16,51.59,51.8,52.33,49.53,0.29,52.43799999999999,,,,,,,50000.0
2009-01-20,48.44,50.75,51.7,48.27,-6.11,52.25599999999999,,,,,,,50000.0
2009-01-21,50.54,49.31,50.69,48.25,4.34,52.205,,,,,,,50000.0
2009-01-22,49.94,49.42,50.88,48.26,-1.19,52.21,,,,,,,50000.0
2009-01-23,50.63,48.9,51.42,48.45,1.38,52.187500000000014,,,,,,,50000.0
2009-01-26,49.63,50.18,50.89,48.52,-1.98,52.097000000000016,,,,,,,50000.0
2009-01-27,48.44,49.3,50.42,47.72,-2.4,51.93000000000002,,,,,,,50000.0
2009-01-28,50.36,49.72,51.49,48.97,3.96,51.97800000000001,,,,,,,50000.0
2009-01-29,50.0,49.96,51.85,49.14,-0.71,51.94000000000001,,,,,,,50000.0
2009-01-30,58.82,57.36,59.74,57.24,17.64,52.31700000000001,,,,,,,50000.0
2009-02-02,61.15,58.57,62.0,58.13,3.96,52.656500000000015,,,,,,,50000.0
2009-02-03,63.59,60.87,64.2,60.0,3.99,53.13300000000002,,,,,,,50000.0
2009-02-04,61.06,63.38,63.44,60.83,-3.98,53.31800000000002,,,,,,,50000.0
2009-02-05,63.18,61.15,63.81,60.63,3.47,53.667000000000016,,,,,,,50000.0
2009-02-06,66.55,63.18,67.0,63.18,5.33,54.13650000000001,,,,,,,50000.0
2009-02-09,66.71,66.56,67.36,65.38,0.24,54.696500000000015,,,,,,,50000.0
2009-02-10,63.31,66.15,67.23,63.07,-5.1,55.266000000000005,,,,,,,50000.0
2009-02-11,64.354,63.1,64.9,62.25,1.65,55.91120000000001,52.88868,,,bullish,1.0,,50000.0
2009-02-12,63.96,63.25,64.25,61.71,-0.61,56.68470000000001,53.35848000000001,,,bullish,0.0,632.5,49367.5
2009-02-13,63.26,63.97,64.68,62.87,-1.09,57.27570000000001,53.79988000000001,,,bullish,0.0,0.0,49367.5
2009-02-17,61.67,61.67,62.65,61.18,-2.51,57.77970000000001,54.129080000000016,,,bullish,0.0,0.0,49367.5
2009-02-18,62.35,62.271,62.78,60.52,1.1,58.47520000000001,54.429680000000005,,,bullish,0.0,0.0,49367.5
2009-02-19,61.95,62.84,64.18,61.67,-0.64,59.04570000000001,54.70348,,,bullish,0.0,0.0,49367.5
2009-02-20,63.86,61.07,64.15,60.84,3.08,59.7417,54.95248000000001,,,bullish,0.0,0.0,49367.5
2009-02-23,61.71,64.16,64.91,61.52,-3.37,60.2957,55.161680000000004,,,bullish,0.0,0.0,49367.5
2009-02-24,65.6,61.97,66.1,61.89,6.3,61.09419999999999,55.47968000000001,,,bullish,0.0,0.0,49367.5
2009-02-25,63.71,64.9,65.75,62.82,-2.88,61.85769999999999,55.788880000000006,,,bullish,0.0,0.0,49367.5
2009-02-26,62.34,64.12,64.73,62.34,-2.15,62.45669999999999,56.01068000000001,,,bullish,0.0,0.0,49367.5
2009-02-27,64.79,61.26,65.08,60.94,3.93,63.19619999999999,56.32948000000001,,,bullish,0.0,0.0,49367.5
2009-03-02,61.99,63.94,65.52,61.51,-4.32,63.354699999999994,56.51668000000001,,,bullish,0.0,0.0,49367.5
2009-03-03,61.7,62.75,63.29,61.3,-0.47,63.38219999999999,56.68708000000001,,,bullish,0.0,0.0,49367.5
2009-03-04,64.81,62.8,65.79,62.4,5.04,63.44319999999999,56.941680000000005,,,bullish,0.0,0.0,49367.5
2009-03-05,64.77,64.12,65.8,63.6,-0.06,63.628699999999995,57.20588000000001,,,bullish,0.0,0.0,49367.5
2009-03-06,61.69,65.2,65.5,59.82,-4.76,63.554199999999994,57.44288,,,bullish,0.0,0.0,49367.5
2009-03-09,60.49,62.2,64.03,60.15,-1.95,63.2512,57.631080000000004,,,bullish,0.0,0.0,49367.5
2009-03-10,65.71,62.49,65.9,61.7801,8.63,63.20119999999999,57.91648,,,bullish,0.0,0.0,49367.5
2009-03-11,68.54,66.24,69.37,65.27,4.31,63.4627,58.25167999999999,,,bullish,0.0,0.0,49367.5
2009-03-12,69.58,68.35,69.8699,67.25,1.52,63.72399999999999,58.65527999999999,,,bullish,0.0,0.0,49367.5
2009-03-13,68.63,69.64,69.74,67.53,-1.37,63.95749999999998,59.01267999999999,,,bullish,0.0,0.0,49367.5
2009-03-16,66.98,68.56,69.295,66.68,-2.4,64.14349999999999,59.32667999999999,,,bullish,0.0,0.0,49367.5
2009-03-17,71.35,67.37,71.705,67.0,6.52,64.62749999999997,59.666479999999986,,,bullish,0.0,0.0,49367.5
2009-03-18,71.25,70.97,73.91,70.13,-0.14,65.07249999999998,60.01027999999999,,,bullish,0.0,0.0,49367.5
2009-03-19,70.1,71.4,71.91,69.24,-1.61,65.47999999999998,60.26507999999998,,,bullish,0.0,0.0,49367.5
2009-03-20,69.96,70.39,70.89,69.08,-0.2,65.78499999999998,60.54027999999998,,,bullish,0.0,0.0,49367.5
2009-03-23,75.58,71.36,75.61,70.7,8.03,66.47849999999997,60.90867999999998,,,bullish,0.0,0.0,49367.5
2009-03-24,72.81,74.85,75.0,72.31,-3.66,66.83899999999997,61.25467999999998,,,bullish,0.0,0.0,49367.5
2009-03-25,72.4,73.09,73.95,69.84,-0.56,67.27349999999998,61.664279999999984,,,bullish,0.0,0.0,49367.5
2009-03-26,73.69,73.47,74.98,72.64,1.78,67.84099999999998,62.109079999999985,,,bullish,0.0,0.0,49367.5
2009-03-27,70.52,71.61,72.29,70.1,-4.3,68.12749999999998,62.54967999999999,,,bullish,0.0,0.0,49367.5
2009-03-30,71.44,70.4,71.67,69.75,1.3,68.6,62.94967999999999,,,bullish,0.0,0.0,49367.5
2009-03-31,73.44,72.61,74.5,72.12,2.8,69.18699999999998,63.386679999999984,,,bullish,0.0,0.0,49367.5
2009-04-01,73.5,73.015,75.09,71.71,0.08,69.6215,63.88787999999999,,,bullish,0.0,0.0,49367.5
2009-04-02,76.34,73.63,77.24,73.44,3.86,70.19999999999999,64.40387999999999,,,bullish,0.0,0.0,49367.5
